DateTime,Temp C,SpCond mS/cm,Sal psu,DO_pct,DO_mgl mg/L,Depth m,cDepth m,pH,Turb FNU/NTU
6/22/2021 0:00,11.5,49.79,32.5,74.9,6.6,2.61,2.58,7.7,2
6/22/2021 0:15,11.7,49.69,32.4,74.5,6.6,2.47,2.44,7.7,3
6/22/2021 0:30,12,49.49,32.3,75.5,6.6,2.3,2.27,7.7,3
6/22/2021 0:45,12.4,49.17,32.1,78.1,6.8,2.12,2.09,7.8,3
6/22/2021 1:00,12.8,48.85,31.9,79.4,6.9,1.97,1.94,7.8,4
6/22/2021 1:15,13.2,48.53,31.6,81.1,7,1.83,1.8,7.8,4
6/22/2021 1:30,13.5,48.35,31.5,81.1,7,1.65,1.62,7.8,5
6/22/2021 1:45,13.8,47.99,31.3,81.8,7,1.5,1.48,7.8,5
6/22/2021 2:00,14,47.74,31.1,81.3,6.9,1.38,1.36,7.8,5
6/22/2021 2:15,14.2,47.49,30.9,80.9,6.9,1.26,1.24,7.8,6
6/22/2021 2:30,14.4,47.28,30.8,80.1,6.8,1.16,1.14,7.8,6
6/22/2021 2:45,14.7,46.95,30.5,80.3,6.8,1.07,1.05,7.8,6
6/22/2021 3:00,14.9,46.68,30.4,79.9,6.7,0.99,0.97,7.8,6
6/22/2021 3:15,15,46.53,30.2,79.4,6.6,0.94,0.92,7.7,6
6/22/2021 3:30,15.1,46.41,30.2,78.3,6.6,0.89,0.87,7.7,5
6/22/2021 3:45,15.2,46.3,30.1,76.6,6.4,0.87,0.85,7.7,10
6/22/2021 4:00,15.2,46.28,30.1,70.5,5.9,0.87,0.85,7.7,5
6/22/2021 4:15,14.9,46.54,30.3,71.5,6,0.89,0.87,7.7,3
6/22/2021 4:30,14.9,46.54,30.2,68.8,5.8,0.91,0.89,7.6,3
6/22/2021 4:45,15,46.53,30.2,72.3,6.1,0.96,0.94,7.7,3
6/22/2021 5:00,14.7,46.85,30.5,72,6.1,1.04,1.02,7.7,3
6/22/2021 5:15,14.5,47.07,30.6,74.1,6.3,1.12,1.1,7.7,3
6/22/2021 5:30,14.1,47.51,30.9,73.6,6.3,1.22,1.2,7.7,3
6/22/2021 5:45,13.9,47.66,31,73.4,6.3,1.32,1.3,7.7,3
6/22/2021 6:00,13.9,47.7,31.1,74.8,6.4,1.41,1.39,7.7,3
6/22/2021 6:15,13.5,47.97,31.2,74.6,6.4,1.53,1.51,7.7,3
6/22/2021 6:30,13.3,48,31.3,74.3,6.4,1.65,1.63,7.7,3
6/22/2021 6:45,13.3,47.94,31.2,73.6,6.3,1.75,1.73,7.7,2
6/22/2021 7:00,13.3,47.91,31.2,74.2,6.4,1.88,1.86,7.7,7
6/22/2021 7:15,13.4,47.91,31.2,75.3,6.5,2,1.98,7.7,3
6/22/2021 7:30,13.2,48.03,31.3,75.3,6.5,2.11,2.09,7.7,3
6/22/2021 7:45,12.7,48.42,31.5,74.5,6.5,2.21,2.19,7.7,3
6/22/2021 8:00,12.1,48.85,31.8,75.4,6.6,2.33,2.31,7.7,3
6/22/2021 8:15,11.5,49.2,32.1,77.1,6.9,2.43,2.41,7.7,3
6/22/2021 8:30,10.9,49.62,32.3,77.7,7,2.52,2.51,7.7,2
6/22/2021 8:45,10.2,50.19,32.7,76.4,7,2.62,2.61,7.7,3
6/22/2021 9:00,10.1,50.19,32.7,75.7,6.9,2.7,2.69,7.7,2
6/22/2021 9:15,9.9,50.32,32.8,74.9,6.9,2.78,2.77,7.7,1
6/22/2021 9:30,9.9,50.37,32.8,74.7,6.9,2.85,2.84,7.7,1
6/22/2021 9:45,9.8,50.51,32.9,74.9,6.9,2.91,2.9,7.7,2
6/22/2021 10:00,9.7,50.4,32.8,74.3,6.8,2.96,2.95,7.7,1
6/22/2021 10:15,9.7,50.36,32.8,74.4,6.9,3,2.99,7.7,2
6/22/2021 10:30,9.8,50.48,32.9,73.7,6.8,3.03,3.02,7.7,1
6/22/2021 10:45,9.8,50.27,32.7,66.5,6.1,3.03,3.02,7.6,
6/22/2021 11:00,9.9,50.53,32.9,77.7,7.1,3.01,3,7.7,1
6/22/2021 11:15,9.9,50.26,32.7,77.7,7.1,2.98,2.97,7.7,1
6/22/2021 11:30,9.9,50.52,32.9,78.2,7.2,2.92,2.91,7.7,1
6/22/2021 11:45,10.4,50.36,32.8,81.1,7.4,2.86,2.84,7.7,1
