Species,Total_Count_Camera_Activity,Detection_Events_Camera_Activity,Total_Count_Detection_Efficiency,Detection_Events_Detection_Efficiency,Detection_Rate_Pct_Detection_Efficiency
Anas Platyrhynchos,92.0,28,92.0,28,0.14297385620915032
Anatidae,88.0,63,88.0,63,0.3216911764705882
Ardea,83.0,50,83.0,50,0.25531045751633985
Ardea Alba,2330.0,693,2330.0,693,3.5386029411764706
Ardea Herodias,81.0,80,81.0,80,0.40849673202614384
Branta Canadensis,217.0,46,217.0,46,0.23488562091503268
Bucephala Albeola,25.0,21,25.0,21,0.10723039215686275
Human,0.0,2,0.0,2,0.010212418300653595
Larus Sp.,2.0,2,2.0,2,0.010212418300653595
Lophodytes Cucullatus,36.0,24,36.0,24,0.12254901960784313
Megaceryle Alcyon,12.0,12,12.0,12,0.061274509803921566
Mergus Merganser,5.0,2,5.0,2,0.010212418300653595
Mergus Sp.,10.0,4,10.0,4,0.02042483660130719
Nannopterum Auritus,234.0,82,234.0,82,0.4187091503267974
Phalacrocoracidae,160.0,125,160.0,125,0.6382761437908496
Unknown,368.0,194,368.0,194,0.9906045751633986
Urile Pelagicus,102.0,72,102.0,72,0.3676470588235294
