relative_path,Full Path,Corrected,absolute_path,data_type,Species 1,Species 2,Species 3,Species 1 Count,Species 2 Count,Species 3 Count,Species 1 Distance,Species 2 Distance,Species 3 Distance,Species 1 Activity,Species 2 Activity,Species 3 Activity,Weather,Water Conditions,Water Notes,Temp [C],Notes,DateTime
Willanch TG\1-21-22 to 2-2-22\01210001.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01210001.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/21/2022 16:45
Willanch TG\1-21-22 to 2-2-22\01210002.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01210002.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/21/2022 17:00
Willanch TG\1-21-22 to 2-2-22\01220003.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01220003.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/22/2022 7:30
Willanch TG\1-21-22 to 2-2-22\01220004.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01220004.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/22/2022 7:45
Willanch TG\1-21-22 to 2-2-22\01220005.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01220005.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/22/2022 8:00
Willanch TG\1-21-22 to 2-2-22\01220006.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01220006.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/22/2022 8:15
Willanch TG\1-21-22 to 2-2-22\01220007.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01220007.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/22/2022 8:30
Willanch TG\1-21-22 to 2-2-22\01220008.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01220008.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/22/2022 8:45
Willanch TG\1-21-22 to 2-2-22\01220009.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01220009.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/22/2022 9:00
Willanch TG\1-21-22 to 2-2-22\01220010.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01220010.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/22/2022 9:15
Willanch TG\1-21-22 to 2-2-22\01220011.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01220011.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/22/2022 9:30
Willanch TG\1-21-22 to 2-2-22\01220012.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01220012.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/22/2022 9:45
Willanch TG\1-21-22 to 2-2-22\01220013.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01220013.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/22/2022 10:00
Willanch TG\1-21-22 to 2-2-22\01220014.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01220014.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/22/2022 10:15
Willanch TG\1-21-22 to 2-2-22\01220015.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01220015.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/22/2022 10:30
Willanch TG\1-21-22 to 2-2-22\01220016.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01220016.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/22/2022 10:45
Willanch TG\1-21-22 to 2-2-22\01220017.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01220017.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/22/2022 11:00
Willanch TG\1-21-22 to 2-2-22\01220018.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01220018.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/22/2022 11:15
Willanch TG\1-21-22 to 2-2-22\01220019.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01220019.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/22/2022 11:30
Willanch TG\1-21-22 to 2-2-22\01220020.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01220020.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/22/2022 11:45
Willanch TG\1-21-22 to 2-2-22\01220021.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01220021.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/22/2022 12:00
Willanch TG\1-21-22 to 2-2-22\01220022.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01220022.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/22/2022 12:15
Willanch TG\1-21-22 to 2-2-22\01220023.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01220023.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,Anatidae,,,1,,,Near,,,Swimming,,,Sunny,Calm,,8,,1/22/2022 12:30
Willanch TG\1-21-22 to 2-2-22\01220024.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01220024.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/22/2022 12:45
Willanch TG\1-21-22 to 2-2-22\01220025.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01220025.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/22/2022 13:00
Willanch TG\1-21-22 to 2-2-22\01220026.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01220026.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/22/2022 13:15
Willanch TG\1-21-22 to 2-2-22\01220027.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01220027.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/22/2022 13:30
Willanch TG\1-21-22 to 2-2-22\01220028.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01220028.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/22/2022 13:45
Willanch TG\1-21-22 to 2-2-22\01220029.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01220029.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/22/2022 14:00
Willanch TG\1-21-22 to 2-2-22\01220030.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01220030.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/22/2022 14:15
Willanch TG\1-21-22 to 2-2-22\01220031.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01220031.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/22/2022 14:30
Willanch TG\1-21-22 to 2-2-22\01220032.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01220032.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/22/2022 14:45
Willanch TG\1-21-22 to 2-2-22\01220033.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01220033.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/22/2022 15:00
Willanch TG\1-21-22 to 2-2-22\01220034.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01220034.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/22/2022 15:15
Willanch TG\1-21-22 to 2-2-22\01220035.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01220035.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/22/2022 15:30
Willanch TG\1-21-22 to 2-2-22\01220036.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01220036.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/22/2022 15:45
Willanch TG\1-21-22 to 2-2-22\01220037.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01220037.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/22/2022 16:00
Willanch TG\1-21-22 to 2-2-22\01220038.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01220038.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/22/2022 16:15
Willanch TG\1-21-22 to 2-2-22\01220039.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01220039.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/22/2022 16:30
Willanch TG\1-21-22 to 2-2-22\01220040.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01220040.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/22/2022 16:45
Willanch TG\1-21-22 to 2-2-22\01220041.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01220041.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/22/2022 17:00
Willanch TG\1-21-22 to 2-2-22\01230042.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01230042.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/23/2022 7:30
Willanch TG\1-21-22 to 2-2-22\01230043.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01230043.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/23/2022 7:45
Willanch TG\1-21-22 to 2-2-22\01230044.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01230044.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/23/2022 8:00
Willanch TG\1-21-22 to 2-2-22\01230045.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01230045.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/23/2022 8:15
Willanch TG\1-21-22 to 2-2-22\01230046.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01230046.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/23/2022 8:30
Willanch TG\1-21-22 to 2-2-22\01230047.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01230047.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/23/2022 8:45
Willanch TG\1-21-22 to 2-2-22\01230048.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01230048.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/23/2022 9:00
Willanch TG\1-21-22 to 2-2-22\01230049.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01230049.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/23/2022 9:15
Willanch TG\1-21-22 to 2-2-22\01230050.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01230050.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/23/2022 9:30
Willanch TG\1-21-22 to 2-2-22\01230051.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01230051.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/23/2022 9:45
Willanch TG\1-21-22 to 2-2-22\01230052.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01230052.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/23/2022 10:00
Willanch TG\1-21-22 to 2-2-22\01230053.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01230053.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/23/2022 10:15
Willanch TG\1-21-22 to 2-2-22\01230054.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01230054.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/23/2022 10:30
